;correct_spelling;misspellings
98;selv;['sevl'                  , 'slev'        , 'slve'        , 'svel'        , 'svle'        , 'eslv'        , 'esvl'        , 'elsv'        , 'elvs'        , 'evsl'        , 'evls'        , 'lsev'        , 'lsve'         , 'lesv'   , 'levs' , 'lvse', 'lves', 'vsel', 'vsle', 'vesl' , 'vels', 'vlse' , 'vles']
99;jord;['jodr'                  , 'jrod'        , 'jrdo'        , 'jdor'        , 'jdro'        , 'ojrd'        , 'ojdr'        , 'orjd'        , 'ordj'        , 'odjr'        , 'odrj'        , 'rjod'        , 'rjdo'         , 'rojd'   , 'rodj' , 'rdjo', 'rdoj', 'djor', 'djro', 'dojr' , 'dorj', 'drjo' , 'droj']
100;far;['afr'                   , 'arf'         , 'rfa'         , 'raf']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
101;enhver;['nhver'              , 'ehver'       , 'enver'       , 'enher'       , 'enhvr'       , 'enhve']      ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
102;ny;['yn']                    ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
103;arbejde;['rbejde'            , 'abejde'      , 'arejde'      , 'arbjde'      , 'arbede'      , 'arbeje'      , 'arbejd']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
104;del;['dle'                   , 'edl'         , 'eld'         , 'lde']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
105;tage;['taeg'                 , 'tgae'        , 'tgea'        , 'teag'        , 'tega'        , 'atge'        , 'ateg'        , 'agte'        , 'aget'        , 'aetg'        , 'aegt'        , 'gtae'        , 'gtea'         , 'gate'   , 'gaet' , 'geta', 'geat', 'etag', 'etga', 'eatg' , 'eagt', 'egta' , 'egat']
106;få;['åf']                    ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
107;sted;['stde'                 , 'setd'        , 'sedt'        , 'sdte'        , 'sdet'        , 'tsed'        , 'tsde'        , 'tesd'        , 'teds'        , 'tdse'        , 'tdes'        , 'estd'        , 'esdt'         , 'etsd'   , 'etds' , 'edst', 'edts', 'dste', 'dset', 'dtse' , 'dtes', 'dest' , 'dets']
108;lavet;['avet'                , 'lvet'        , 'laet'        , 'lavt'        , 'lave']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
109;leve;['leev'                 , 'lvee'        , 'lvee'        , 'leev'        , 'elve'        , 'elev'        , 'evle'        , 'evel'        , 'eelv'        , 'eevl'        , 'vlee'        , 'vlee'        , 'vele'         , 'veel'   , 'vele' , 'veel', 'elev', 'elve', 'eelv', 'eevl' , 'evle', 'evel'], 
110;hvor;['hvro'                 , 'hovr'        , 'horv'        , 'hrvo'        , 'hrov'        , 'vhor'        , 'vhro'        , 'vohr'        , 'vorh'        , 'vrho'        , 'vroh'        , 'ohvr'        , 'ohrv'         , 'ovhr'   , 'ovrh' , 'orhv', 'orvh', 'rhvo', 'rhov', 'rvho' , 'rvoh', 'rohv' , 'rovh']
111;efter;['fter'                , 'eter'        , 'efer'        , 'eftr'        , 'efte']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
112;tilbage;['ilbage'            , 'tlbage'      , 'tibage'      , 'tilage'      , 'tilbge'      , 'tilbae'      , 'tilbag']     ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
113;lidt;['litd'                 , 'ldit'        , 'ldti'        , 'ltid'        , 'ltdi'        , 'ildt'        , 'iltd'        , 'idlt'        , 'idtl'        , 'itld'        , 'itdl'        , 'dlit'        , 'dlti'         , 'dilt'   , 'ditl' , 'dtli', 'dtil', 'tlid', 'tldi', 'tild' , 'tidl', 'tdli' , 'tdil']
114;kun;['knu'                   , 'ukn'         , 'unk'         , 'nku'         , 'nuk']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
115;runde;['unde'                , 'rnde'        , 'rude'        , 'rune'        , 'rund']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
116;mand;['madn'                 , 'mnad'        , 'mnda'        , 'mdan'        , 'mdna'        , 'amnd'        , 'amdn'        , 'anmd'        , 'andm'        , 'admn'        , 'adnm'        , 'nmad'        , 'nmda'         , 'namd'   , 'nadm' , 'ndma', 'ndam', 'dman', 'dmna', 'damn' , 'danm', 'dnma' , 'dnam']
117;år;['rå']                    ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
118;kom;['kmo'                   , 'okm'         , 'omk'         , 'mko'         , 'mok']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
119;vis;['vsi'                   , 'ivs'         , 'isv'         , 'svi'         , 'siv']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
120;hver;['hvre'                 , 'hevr'        , 'herv'        , 'hrve'        , 'hrev'        , 'vher'        , 'vhre'        , 'vehr'        , 'verh'        , 'vrhe'        , 'vreh'        , 'ehvr'        , 'ehrv'         , 'evhr'   , 'evrh' , 'erhv', 'ervh', 'rhve', 'rhev', 'rvhe' , 'rveh', 'rehv' , 'revh']
121;god;['gdo'                   , 'ogd'         , 'odg'         , 'dgo']        ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
122;mig;['mgi'                   , 'img'         , 'igm'         , 'gmi'         , 'gim']        ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
123;giver;['iver'                , 'gver'        , 'gier'        , 'givr']       ,               ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
124;vores;['ores'                , 'vres'        , 'voes'        , 'vors'        , 'vore']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
125;under;['nder'                , 'uder'        , 'uner'        , 'undr'        , 'unde']       ,               ,               ,               ,               ,               ,               ,               ,                ,          ,        ,       ,       ,       ,       ,        ,       ,        , 
