trigger;replace;language
cartilege;cartilage;english
cartilidge;cartilage;english
cartrige;cartridge;english
casette;cassette;english
casion;caisson;english
cassawory;cassowary;english
cassowarry;cassowary;english
casue;cause;english
casued;caused;english
casues;causes;english
casuing;causing;english
casulaties;casualties;english
casulaty;casualty;english
catagories;categories;english
catagorized;categorized;english
catagory;category;english
catapillar;caterpillar;english
catapillars;caterpillars;english
catapiller;caterpillar;english
catapillers;caterpillars;english
catepillar;caterpillar;english
catepillars;caterpillars;english
catergorize;categorize;english
catergorized;categorized;english
caterpilar;caterpillar;english
caterpilars;caterpillars;english
caterpiller;caterpillar;english
caterpillers;caterpillars;english
cathlic;catholic;english
catholocism;catholicism;english
catterpilar;caterpillar;english
catterpilars;caterpillars;english
catterpillar;caterpillar;english
catterpillars;caterpillars;english
cattleship;battleship;english
causalities;casualties;english
Ceasar;Caesar;english
Celcius;Celsius;english
cellpading;cellpadding;english
cementary;cemetery;english
cemetarey;cemetery;english
cemetaries;cemeteries;english
cemetary;cemetery;english
cencus;census;english
cententenial;centennial;english
centruies;centuries;english
centruy;century;english
centuties;centuries;english
centuty;century;english
cerimonial;ceremonial;english
cerimonies;ceremonies;english
cerimonious;ceremonious;english
cerimony;ceremony;english
ceromony;ceremony;english
certaintly;certainly;english
certainity;certainty;english
certian;certain;english
chalenging;challenging;english
challange;challenge;english
challanged;challenged;english
challege;challenge;english
Champange;Champagne;english
changable;changeable;english
charachter;character;english
charachters;characters;english
charactersistic;characteristic;english
charactor;character;english
charactors;characters;english
charasmatic;charismatic;english
charaterized;characterized;english
chariman;chairman;english
charistics;characteristics;english
cheif;chief;english
cheifs;chiefs;english
chemcial;chemical;english
chemcially;chemically;english
chemestry;chemistry;english
chemicaly;chemically;english
childbird;childbirth;english
childen;children;english
choclate;chocolate;english
choosen;chosen;english
chracter;character;english
chuch;church;english
churchs;churches;english
Cincinatti;Cincinnati;english
Cincinnatti;Cincinnati;english
circulaton;circulation;english
circumsicion;circumcision;english
circut;circuit;english
ciricuit;circuit;english
ciriculum;curriculum;english
civillian;civilian;english
claer;clear;english
claerer;clearer;english
claerly;clearly;english
claimes;claims;english
clas;class;english
clasic;classic;english
clasical;classical;english
clasically;classically;english
cleareance;clearance;english
clincial;clinical;english
clinicaly;clinically;english
cmo;com;english
cmoputer;computer;english
::co-incided::coincided
Coca Cola;Coca-Cola;english
coctail;cocktail;english
coform;conform;english
cognizent;cognizant;english
coincedentally;coincidentally;english
colaborations;collaborations;english
colateral;collateral;english
colelctive;collective;english
collaberative;collaborative;english
collecton;collection;english
collegue;colleague;english
collegues;colleagues;english
collonade;colonnade;english
collonies;colonies;english
collony;colony;english
collosal;colossal;english
colonizators;colonizers;english
comando;commando;english
comandos;commandos;english
comany;company;english
comapany;company;english
comback;comeback;english
combanations;combinations;english
combinatins;combinations;english
combusion;combustion;english
comdemnation;condemnation;english
comemmorates;commemorates;english
comemoretion;commemoration;english
comision;commission;english
comisioned;commissioned;english
comisioner;commissioner;english
comisioning;commissioning;english
comisions;commissions;english
comission;commission;english
comissioned;commissioned;english
comissioner;commissioner;english
comissioning;commissioning;english
comissions;commissions;english
comited;committed;english
comiting;committing;english
comitted;committed;english
comittee;committee;english
comitting;committing;english
commandoes;commandos;english
commedic;comedic;english
commemerative;commemorative;english
commemmorate;commemorate;english
commemmorating;commemorating;english
commerical;commercial;english
commerically;commercially;english
commericial;commercial;english
commericially;commercially;english
commerorative;commemorative;english
comming;coming;english
comminication;communication;english
commision;commission;english
commisioned;commissioned;english
commisioner;commissioner;english
commisioning;commissioning;english
commisions;commissions;english
commited;committed;english
commitee;committee;english
commiting;committing;english
committe;committee;english
committment;commitment;english
committments;commitments;english
commmemorated;commemorated;english
commongly;commonly;english
commonweath;commonwealth;english
commuications;communications;english
commuinications;communications;english
communciation;communication;english
communiation;communication;english
communites;communities;english
compability;compatibility;english
comparision;comparison;english
comparisions;comparisons;english
comparitive;comparative;english
comparitively;comparatively;english
compatabilities;compatibilities;english
compatability;compatibility;english
compatable;compatible;english
compatablities;compatibilities;english
compatablity;compatibility;english
compatiable;compatible;english
compatiblities;compatibilities;english
compatiblity;compatibility;english
compeitions;competitions;english
compensantion;compensation;english
competance;competence;english
competant;competent;english
competative;competitive;english
competitiion;competition;english
competive;competitive;english
competiveness;competitiveness;english
comphrehensive;comprehensive;english
compitent;competent;english
completedthe;completed the;english
completelyl;completely;english
completetion;completion;english
complier;compiler;english
componant;component;english
comprable;comparable;english
comprimise;compromise;english
compulsary;compulsory;english
compulsery;compulsory;english
computarized;computerized;english
concensus;consensus;english
concider;consider;english
concidered;considered;english
concidering;considering;english
conciders;considers;english
concieted;conceited;english
concieved;conceived;english
concious;conscious;english
conciously;consciously;english
conciousness;consciousness;english
condamned;condemned;english
condemmed;condemned;english
condidtion;condition;english
condidtions;conditions;english
conditionsof;conditions of;english
conected;connected;english
conection;connection;english
conesencus;consensus;english
confidental;confidential;english
confidentally;confidentially;english
confids;confides;english
configureable;configurable;english
confortable;comfortable;english
congradulations;congratulations;english
congresional;congressional;english
conived;connived;english
conjecutre;conjecture;english
conjuction;conjunction;english
Conneticut;Connecticut;english
conotations;connotations;english
conquerd;conquered;english
conquerer;conqueror;english
conquerers;conquerors;english
conqured;conquered;english
conscent;consent;english
consciouness;consciousness;english
consdider;consider;english
consdidered;considered;english
consdiered;considered;english
consectutive;consecutive;english
consenquently;consequently;english
consentrate;concentrate;english
consentrated;concentrated;english
consentrates;concentrates;english
consept;concept;english
consequentually;consequently;english
consequeseces;consequences;english
consern;concern;english
conserned;concerned;english
conserning;concerning;english
conservitive;conservative;english
consiciousness;consciousness;english
consicousness;consciousness;english
considerd;considered;english
consideres;considered;english
consious;conscious;english
consistant;consistent;english
consistantly;consistently;english
consituencies;constituencies;english
consituency;constituency;english
consituted;constituted;english
consitution;constitution;english
consitutional;constitutional;english
consolodate;consolidate;english
consolodated;consolidated;english
consonent;consonant;english
consonents;consonants;english
consorcium;consortium;english
conspiracys;conspiracies;english
conspiriator;conspirator;english
constaints;constraints;english
constanly;constantly;english
constarnation;consternation;english
constatn;constant;english
constinually;continually;english
constituant;constituent;english
constituants;constituents;english
constituion;constitution;english
constituional;constitutional;english
consttruction;construction;english
constuction;construction;english
contstruction;construction;english
consulant;consultant;english
consumate;consummate;english
consumated;consummated;english
contaiminate;contaminate;english
containes;contains;english
contamporaries;contemporaries;english
contamporary;contemporary;english
contempoary;contemporary;english
contemporaneus;contemporaneous;english
contempory;contemporary;english
contendor;contender;english
contian;contain;english
contians;contains;english
contibute;contribute;english
contibuted;contributed;english
contibutes;contributes;english
contigent;contingent;english
contined;continued;english
continential;continental;english
continous;continuous;english
continously;continuously;english
continueing;continuing;english
contravercial;controversial;english
contraversy;controversy;english
contributer;contributor;english
contributers;contributors;english
contritutions;contributions;english
controled;controlled;english
controling;controlling;english
controll;control;english
controlls;controls;english
controvercial;controversial;english
controvercy;controversy;english
controveries;controversies;english
controversal;controversial;english
controversey;controversy;english
controvertial;controversial;english
controvery;controversy;english
contruction;construction;english
conveinent;convenient;english
convenant;covenant;english
convential;conventional;english
convertables;convertibles;english
convertion;conversion;english
conviced;convinced;english
convienient;convenient;english
coordiantion;coordination;english
coorperations;corporations;english
copmetitors;competitors;english
coputer;computer;english
copywrite;copyright;english
coridal;cordial;english
cornmitted;committed;english
corosion;corrosion;english
corparate;corporate;english
corperations;corporations;english
correcters;correctors;english
correponding;corresponding;english
correposding;corresponding;english
correspondant;correspondent;english
correspondants;correspondents;english
corridoors;corridors;english
corrispond;correspond;english
corrispondant;correspondent;english
corrispondants;correspondents;english
corrisponded;corresponded;english
corrisponding;corresponding;english
corrisponds;corresponds;english
costitution;constitution;english
coucil;council;english
counries;countries;english
countains;contains;english
countires;countries;english
creaeted;created;english
creche;crèche;english
creedence;credence;english
critereon;criterion;english
criterias;criteria;english
criticists;critics;english
critisising;criticising;english
critisism;criticism;english
critisisms;criticisms;english
critized;criticized;english
critizing;criticizing;english
crockodiles;crocodiles;english
crowm;crown;english
crtical;critical;english
crticised;criticised;english
crucifiction;crucifixion;english
crusies;cruises;english
crutial;crucial;english
crystalisation;crystallisation;english
culiminating;culminating;english
cumulatative;cumulative;english
curch;church;english
curcuit;circuit;english
currenly;currently;english
curriculem;curriculum;english
cxan;cyan;english
cyclinder;cylinder;english
dacquiri;daiquiri;english
daed;dead;english
dalmation;dalmatian;english
damenor;demeanor;english
dammage;damage;english
Dardenelles;Dardanelles;english
daugher;daughter;english
debateable;debatable;english
decendant;descendant;english
decendants;descendants;english
decendent;descendant;english
decendents;descendants;english
decideable;decidable;english
decidely;decidedly;english
decieved;deceived;english
decison;decision;english
decomissioned;decommissioned;english
decomposit;decompose;english
decomposited;decomposed;english
decompositing;decomposing;english
decomposits;decomposes;english
decress;decrees;english
decribe;describe;english
decribed;described;english
decribes;describes;english
decribing;describing;english
dectect;detect;english
defendent;defendant;english
defendents;defendants;english
deffensively;defensively;english
deffine;define;english
deffined;defined;english
definance;defiance;english
definate;definite;english
definately;definitely;english
definatly;definitely;english
definetly;definitely;english
definining;defining;english
definit;definite;english
definitly;definitely;english
definiton;definition;english
defintion;definition;english
degrate;degrade;english
delagates;delegates;english
delapidated;dilapidated;english
delerious;delirious;english
delevopment;development;english
deliberatly;deliberately;english
delusionally;delusively;english
demenor;demeanor;english
demographical;demographic;english
demolision;demolition;english
demorcracy;democracy;english
demostration;demonstration;english
denegrating;denigrating;english
densly;densely;english
deparment;department;english
deparmental;departmental;english
deparments;departments;english
dependance;dependence;english
dependancy;dependency;english
deriviated;derived;english
derivitive;derivative;english
derogitory;derogatory;english
descendands;descendants;english
descibed;described;english
descision;decision;english
descisions;decisions;english
descriibes;describes;english
descripters;descriptors;english
descripton;description;english
desctruction;destruction;english
descuss;discuss;english
desgined;designed;english
deside;decide;english
desigining;designing;english
desinations;destinations;english
desintegrated;disintegrated;english
desintegration;disintegration;english
desireable;desirable;english
desitned;destined;english
desktiop;desktop;english
desorder;disorder;english
desoriented;disoriented;english
despict;depict;english
despiration;desperation;english
dessicated;desiccated;english
dessigned;designed;english
destablized;destabilized;english
destory;destroy;english
detailled;detailed;english
detatched;detached;english
deteoriated;deteriorated;english
deteriate;deteriorate;english
deterioriating;deteriorating;english
determinining;determining;english
detremental;detrimental;english
devasted;devastated;english
develope;develop;english
developement;development;english
developped;developed;english
develpment;development;english
devels;delves;english
devestated;devastated;english
devestating;devastating;english
devide;divide;english
devided;divided;english
devistating;devastating;english
devolopement;development;english
diablical;diabolical;english
diamons;diamonds;english
diaster;disaster;english
dichtomy;dichotomy;english
diconnects;disconnects;english
dicover;discover;english
dicovered;discovered;english
dicovering;discovering;english
dicovers;discovers;english
dicovery;discovery;english
dictionarys;dictionaries;english
dicussed;discussed;english
dieties;deities;english
diety;deity;english
diferent;different;english
diferrent;different;english
differentiatiations;differentiations;english
differnt;different;english
difficulity;difficulty;english
diffrent;different;english
dificulties;difficulties;english
dificulty;difficulty;english
dimenions;dimensions;english
dimention;dimension;english
dimentional;dimensional;english
dimentions;dimensions;english
dimesnional;dimensional;english
diminuitive;diminutive;english
dimunitive;diminutive;english
diosese;diocese;english
diphtong;diphthong;english
diphtongs;diphthongs;english
diplomancy;diplomacy;english
dipthong;diphthong;english
dipthongs;diphthongs;english
directoty;directory;english
dirived;derived;english
disagreeed;disagreed;english
disapeared;disappeared;english
disapointing;disappointing;english
disappearred;disappeared;english
disaproval;disapproval;english
disasterous;disastrous;english
disatisfaction;dissatisfaction;english
disatisfied;dissatisfied;english
disatrous;disastrous;english
discontentment;discontent;english
discribe;describe;english
discribed;described;english
discribes;describes;english
discribing;describing;english
disctinction;distinction;english
disctinctive;distinctive;english
disemination;dissemination;english
disenchanged;disenchanted;english
disiplined;disciplined;english
disobediance;disobedience;english
disobediant;disobedient;english
disolved;dissolved;english
disover;discover;english
dispair;despair;english
disparingly;disparagingly;english
dispence;dispense;english
dispenced;dispensed;english
dispencing;dispensing;english
dispicable;despicable;english
dispite;despite;english
dispostion;disposition;english
disproportiate;disproportionate;english
disputandem;disputandum;english
disricts;districts;english
dissagreement;disagreement;english
dissapear;disappear;english
dissapearance;disappearance;english
dissapeared;disappeared;english
dissapearing;disappearing;english
dissapears;disappears;english
dissappear;disappear;english
dissappears;disappears;english
dissappointed;disappointed;english
dissarray;disarray;english
dissobediance;disobedience;english
dissobediant;disobedient;english
dissobedience;disobedience;english
dissobedient;disobedient;english
distiction;distinction;english
distingish;distinguish;english
distingished;distinguished;english
distingishes;distinguishes;english
distingishing;distinguishing;english
distingquished;distinguished;english
distrubution;distribution;english
distruction;destruction;english
distructive;destructive;english
ditributed;distributed;english
divice;device;english
divinition;divination;english
divison;division;english
divisons;divisions;english
dum;dumb;english
doccument;document;english
doccumented;documented;english
doccuments;documents;english
docrines;doctrines;english
doctines;doctrines;english
documenatry;documentary;english
doens;does;english
doign;doing;english
dominaton;domination;english
dominent;dominant;english
dominiant;dominant;english
donig;doing;english
doulbe;double;english
dowloads;downloads;english
dramtic;dramatic;english
draughtman;draughtsman;english
Dravadian;Dravidian;english
dreasm;dreams;english
driectly;directly;english
drnik;drink;english
druming;drumming;english
drummless;drumless;english
dupicate;duplicate;english
durig;during;english
durring;during;english
duting;during;english
dyas;dryas;english
eahc;each;english
ealier;earlier;english
earlies;earliest;english
earnt;earned;english
ecclectic;eclectic;english
